FRAC_REF_ID,DPTO_REF_ID,IDFRAC
1,1,01
2,1,02
3,1,03
4,1,04
5,1,05
6,1,06
7,1,07
8,1,08
9,1,09
10,1,10
11,1,11
12,1,12
13,1,13
14,1,14
15,1,15
16,1,16
17,1,17
18,1,18
19,1,19
20,1,20
21,1,21
22,1,22
23,1,23
24,1,24
25,1,25
26,1,26
27,1,27
28,1,28
29,1,29
30,2,01
31,2,02
32,2,03
33,2,04
34,2,05
35,2,06
36,2,07
37,2,08
38,2,09
39,2,10
40,2,11
41,2,12
42,2,13
43,2,14
44,2,15
45,2,16
46,2,17
47,2,18
48,2,19
49,2,20
50,2,21
51,2,22
52,2,23
53,2,24
54,2,25
55,3,01
56,3,02
57,3,03
58,3,04
59,3,05
60,3,06
61,3,07
62,3,08
63,3,09
64,3,10
65,3,11
66,3,12
67,3,13
68,3,14
69,3,15
70,3,16
71,3,17
72,3,18
73,3,19
74,3,20
75,3,21
76,3,22
77,3,23
78,3,24
79,3,25
80,3,26
81,3,27
82,4,01
83,4,02
84,4,03
85,4,04
86,4,05
87,4,06
88,4,07
89,4,08
90,4,09
91,4,10
92,4,11
93,4,12
94,4,13
95,4,14
96,4,15
97,4,16
98,4,17
99,4,18
100,4,19
101,4,20
102,4,21
103,4,22
104,4,23
105,4,24
106,4,25
107,4,26
108,5,01
109,5,02
110,5,03
111,5,04
112,5,05
113,5,06
114,5,07
115,5,08
116,5,09
117,5,10
118,5,11
119,5,12
120,5,13
121,5,14
122,5,15
123,5,16
124,5,17
125,5,18
126,5,19
127,5,20
128,5,21
129,5,22
130,6,01
131,6,02
132,6,03
133,6,04
134,6,05
135,6,06
136,6,07
137,6,08
138,6,09
139,6,10
140,6,11
141,6,12
142,6,13
143,6,14
144,6,15
145,6,16
146,6,17
147,6,18
148,6,19
149,6,20
150,6,21
151,7,01
152,7,02
153,7,03
154,7,04
155,7,05
156,7,06
157,7,07
158,7,08
159,7,09
160,7,10
161,7,11
162,7,12
163,7,13
164,7,14
165,7,15
166,7,16
167,7,17
168,7,18
169,7,19
170,7,20
171,7,21
172,7,22
173,7,23
174,7,24
175,8,01
176,8,02
177,8,03
178,8,04
179,8,05
180,8,06
181,8,07
182,8,08
183,8,09
184,8,10
185,8,11
186,8,12
187,8,13
188,8,14
189,8,15
190,8,16
191,8,17
192,9,01
193,9,02
194,9,03
195,9,04
196,9,05
197,9,06
198,9,07
199,9,08
200,9,09
201,9,10
202,9,11
203,9,12
204,9,13
205,9,14
206,9,15
207,9,16
208,10,01
209,10,02
210,10,03
211,10,04
212,10,05
213,10,06
214,10,07
215,10,08
216,10,09
217,10,10
218,10,11
219,10,12
220,10,13
221,10,14
222,10,15
223,10,16
224,10,17
225,10,18
226,10,19
227,11,01
228,11,02
229,11,03
230,11,04
231,11,05
232,11,06
233,11,07
234,11,08
235,11,09
236,11,10
237,11,11
238,11,12
239,11,13
240,11,14
241,11,15
242,11,16
243,11,17
244,11,18
245,11,19
246,11,20
247,11,21
248,11,22
249,12,01
250,12,02
251,12,03
252,12,04
253,12,05
254,12,06
255,12,07
256,12,08
257,12,09
258,12,10
259,12,11
260,12,12
261,12,13
262,12,14
263,12,15
264,12,16
265,12,17
266,12,18
267,12,19
268,12,20
269,12,21
270,12,22
271,13,01
272,13,02
273,13,03
274,13,04
275,13,05
276,13,06
277,13,07
278,13,08
279,13,09
280,13,10
281,13,11
282,13,12
283,13,13
284,13,14
285,13,15
286,13,16
287,13,17
288,13,18
289,13,19
290,13,20
291,13,21
292,13,22
293,13,23
294,13,24
295,13,25
296,13,26
297,13,27
298,13,28
299,13,29
300,14,01
301,14,02
302,14,03
303,14,04
304,14,05
305,14,06
306,14,07
307,14,08
308,14,09
309,14,10
310,14,11
311,14,12
312,14,13
313,14,14
314,14,15
315,14,16
316,14,17
317,14,18
318,14,19
319,14,20
320,14,21
321,14,22
322,14,23
323,14,24
324,14,25
325,14,26
326,14,27
327,14,28
328,14,29
329,14,30
330,14,31
331,15,01
332,15,02
333,15,03
334,15,04
335,15,05
336,15,06
337,15,07
338,15,08
339,15,09
340,15,10
341,15,11
342,15,12
343,15,13
344,15,14
345,15,15
346,15,16
347,15,17
348,15,18
349,15,19
350,15,20
351,15,21
